RecordName,RecordType
cbvmnitapl019.capitecbank.fin.sky,A
cbvmnitapl020.capitecbank.fin.sky,A
cbvmnitapl021.capitecbank.fin.sky,A
cbvmnitapl022.capitecbank.fin.sky,A
cbvmnitapl023.capitecbank.fin.sky,A
bancsagdbint.int.capinet,CNAME
bancsint01.int.capinet,CNAME
bancsint02.int.capinet,CNAME
bancsint03.int.capinet,CNAME
bancsint04.int.capinet,CNAME
bancsint05.int.capinet,CNAME
bancsinttesting01.int.capinet,CNAME
bancsinttesting02.int.capinet,CNAME
bancsinttesting03.int.capinet,CNAME
bancsinttesting04.int.capinet,CNAME
bancsinttesting05.int.capinet,CNAME
CBWLNDVAP2025.capitecbank.fin.sky,A
ansiblealiastesting2025.int.capinet,CNAME